year,code,amount,name,topname,depname,depcat,cat,ref,note
2018,3102010100,828821000,無細項,總統府主管,總統府,一般行政,國務支出,1.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費615,358千元，較上年度核實
   減列人事費19,152千元。
2.基本行政工作維持費166,791千元，較上
   年度增列房屋建築養護等經費1,360千元
   。其中總統府外牆清洗防護及局部檢修工
   程計畫總經費31,645千元，分2年辦理，
   本年度編列第1年經費15,465千元。
3.資訊行政工作維持費42,250千元，較上年
   度增列資訊設備等經費89千元。
4.警衛行政工作維持費4,422千元，較上年
   度減列車輛油料等經費336千元。"
2018,3102010200,30000000,無細項,總統府主管,總統府,國務機要,國務支出,1.1.2,"本年度預算數30,000千元，係國家元首國內
外訪視、犒賞、獎助、慰問、接待、贈禮及
其他相關經費，與上年度同。"
2018,3102010300,15614000,無細項,總統府主管,總統府,國家慶典,國務支出,1.1.3,"本年度預算數之內容與上年度之比較如下：
1.慶典布置經費4,351千元，較上年度增列
   布置會場等經費494千元。
2.慶典接待經費11,263千元，較上年度減列
   國宴及致贈賓客紀念品等經費1,455千元
   。"
2018,3102010400,7611000,國家發展研究及諮詢,總統府主管,總統府,研究發展,國務支出,1.1.4.1,
2018,3102010500,10344000,無細項,總統府主管,總統府,新聞發布,國務支出,1.1.5,"本年度預算數10,344千元，係辦理新聞聯繫
與發布所需經費，較上年度減列辦理相關新
聞活動等經費1,022千元。"
2018,3102010600,23755000,無細項,總統府主管,總統府,卸任禮遇,國務支出,1.1.6,"本年度預算數之內容與上年度之比較如下：
1.第9任卸任總統禮遇經費8,590千元，與上
   年度同。
2.第13任卸任總統禮遇經費9,590千元，較
   上年度減列處理事務等經費1,000千元。
3.第13任卸任副總統禮遇經費5,575千元，
   較上年度減列處理事務等經費500千元。"
2018,3102010800,5402000,無細項,總統府主管,總統府,公報編印及印信勳章鑄造,國務支出,1.1.7,"本年度預算數之內容與上年度之比較如下：
1.公報編印經費443千元，較上年度減列公
   報印刷等經費65千元。
2.印信鑄造頒發經費1,334千元，較上年度
   減列各機關印信製(換)發經費1,475千元
   。
3.勳章製作及敬老事宜經費3,625千元，較
   上年度減列敬老禮品等經費2,278千元。"
2018,3102019800,2373000,無細項,總統府主管,總統府,第一預備金,國務支出,1.1.8,本年度預算數較上年度增列如列數。
2018,3102100100,176113000,無細項,總統府主管,國家安全會議,一般行政,國務支出,1.2.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費147,211千元，較上年度核實
   減列人事費2,821千元。
2.基本行政工作維持費28,902千元，較上年
   度增列資訊服務費、房屋建築養護費及硬
   體設備費等2,086千元。"
2018,3102102000,19918000,無細項,總統府主管,國家安全會議,諮詢研究業務,國務支出,1.2.2,"本年度預算數19,918千元，係國家安全諮詢
研究業務經費，較上年度減列國防、外交與
兩岸相關議題之研究經費1,565千元。"
2018,3102109000,0,交通及運輸設備,總統府主管,國家安全會議,一般建築及設備,國務支出,1.2.3.1,
2018,3102109800,500000,無細項,總統府主管,國家安全會議,第一預備金,國務支出,1.2.4,仍照上年度預算數編列。
2018,5302300100,191172000,無細項,總統府主管,國史館,一般行政,文化支出,1.3.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費154,069千元，較上年度核實
   減列人事費2,672千元。
2.基本行政工作維持費34,603千元，較上年
   度減列購置資訊軟硬體設備等經費1,948
   千元，增列古蹟建築物整修工程規劃設計
   監造等經費16,985千元，淨計增15,037千
   元。
3.資訊業務經費2,500千元，較上年度增列
   購置資訊軟硬體設備等經費1,000千元。"
2018,5302301000,20410000,無細項,總統府主管,國史館,檔案文物管理與編纂,文化支出,1.3.2,"本年度預算數之內容與上年度之比較如下：
1.文物管理應用經費6,245千元，較上年度
   減列辦理文物特展等經費1,662千元。
2.檔案管理應用經費7,531千元，較上年度
   減列史料數位化等經費225千元。
3.國史編纂經費6,634千元，較上年度減列
   史籍印製等經費1,836千元。"
2018,5302309000,920000,交通及運輸設備,總統府主管,國史館,一般建築及設備,文化支出,1.3.3.1,
2018,5302309800,340000,無細項,總統府主管,國史館,第一預備金,文化支出,1.3.4,仍照上年度預算數編列。
2018,5302313000,74532000,無細項,總統府主管,國史館臺灣文獻館,一般行政,文化支出,1.4.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費59,130千元，較上年度核實減
   列人事費522千元。
2.基本行政工作維持費15,402千元，較上年
   度減列大樓耐震評估及文物大樓屋頂防水
   隔熱改善工程等經費3,335千元。"
